ID_Funcionario,Horas_Treinamento_Ano,Projetos_Entregues,Tempo_Empresa_Anos,Direito_Home_Office,Processos_Disciplinares,Nota_Desempenho_Final
10127,12.0,2.0,7.0,1.0,0.0,40.2
10128,103.0,15.0,6.2,1.0,0.0,89.6
10129,79.0,12.0,6.2,1.0,0.0,74.3
10130,81.0,12.0,3.6,1.0,0.0,76.9
10131,51.0,9.0,2.5,1.0,0.0,59.0
10132,16.0,4.0,2.2,1.0,0.0,48.4
10133,57.0,8.0,3.1,1.0,0.0,59.9
10134,27.0,4.0,5.8,1.0,0.0,50.0
10135,113.0,16.0,6.9,1.0,0.0,90.1
10136,107.0,15.0,5.8,1.0,0.0,89.1
10137,43.0,6.0,3.6,1.0,0.0,54.7
10138,12.0,2.0,9.5,1.0,0.0,50.5
10139,12.0,1.0,8.8,1.0,0.0,51.1
10140,68.0,12.0,4.1,1.0,0.0,71.0
10141,101.0,16.0,2.9,1.0,0.0,76.0
10142,48.0,7.0,5.3,1.0,0.0,64.9
10143,82.0,13.0,8.2,1.0,0.0,75.7
10144,104.0,15.0,5.8,1.0,0.0,86.4
10145,80.0,11.0,6.4,1.0,0.0,78.5
10146,11.0,3.0,4.5,1.0,0.0,41.8
10147,71.0,9.0,6.1,1.0,0.0,66.3
10148,29.0,4.0,8.9,1.0,0.0,55.2
10149,98.0,14.0,4.4,1.0,0.0,83.4
10150,55.0,8.0,5.4,1.0,0.0,58.7
10151,58.0,10.0,5.6,1.0,0.0,61.6
10152,43.0,7.0,5.7,1.0,0.0,60.0
10153,35.0,6.0,1.5,1.0,0.0,48.7
10154,28.0,4.0,0.5,1.0,0.0,42.0
10155,55.0,9.0,2.5,1.0,0.0,58.1
10156,69.0,8.0,5.4,1.0,0.0,77.0
10157,109.0,16.0,6.4,1.0,0.0,89.8
10158,54.0,8.0,3.7,1.0,0.0,60.5
10159,45.0,6.0,8.4,1.0,0.0,67.7
10160,100.0,15.0,4.6,1.0,0.0,79.3
10161,87.0,15.0,5.1,1.0,0.0,77.3
10162,23.0,4.0,4.5,1.0,0.0,39.2
10163,88.0,14.0,5.3,1.0,0.0,78.0
10164,115.0,17.0,6.8,1.0,0.0,92.3
10165,65.0,9.0,6.7,1.0,0.0,64.2
10166,64.0,8.0,2.8,1.0,0.0,60.3
10167,90.0,12.0,8.8,1.0,0.0,92.8
10168,32.0,5.0,2.3,1.0,0.0,49.5
10169,50.0,6.0,5.2,1.0,0.0,57.1
10170,45.0,7.0,4.3,1.0,0.0,58.9
10171,120.0,18.0,2.4,1.0,0.0,94.7
10172,28.0,5.0,4.8,1.0,0.0,47.9
10173,29.0,3.0,3.1,1.0,0.0,43.9
10174,61.0,11.0,5.2,1.0,0.0,71.4
10175,40.0,6.0,6.0,1.0,0.0,53.2
10176,106.0,14.0,8.7,1.0,0.0,90.1
10177,58.0,10.0,5.8,1.0,0.0,64.7
10178,85.0,12.0,3.5,1.0,0.0,73.1
10179,100.0,14.0,4.0,1.0,0.0,85.2
10180,40.0,5.0,5.3,1.0,0.0,53.7
10181,91.0,13.0,5.2,1.0,0.0,69.1
10182,54.0,9.0,8.6,1.0,0.0,70.1
10183,38.0,6.0,8.5,1.0,0.0,65.4
10184,108.0,19.0,4.1,1.0,0.0,82.2
10185,72.0,10.0,3.6,1.0,0.0,63.2
10186,65.0,9.0,0.5,1.0,0.0,61.5
10187,30.0,3.0,3.6,1.0,0.0,47.8
10188,109.0,15.0,2.6,1.0,0.0,78.6
10189,80.0,13.0,4.1,1.0,0.0,68.3
10190,114.0,17.0,6.0,1.0,0.0,82.4
10191,15.0,3.0,5.4,1.0,0.0,45.3
10192,23.0,3.0,4.9,1.0,0.0,52.9
10193,107.0,15.0,5.5,1.0,0.0,87.9
10194,60.0,8.0,4.7,1.0,0.0,62.0
10195,61.0,7.0,5.5,1.0,0.0,58.7
10196,35.0,5.0,0.5,1.0,0.0,46.1
10197,64.0,10.0,4.3,1.0,0.0,64.7
10198,58.0,8.0,4.7,1.0,0.0,56.4
10199,89.0,14.0,4.1,1.0,0.0,78.9
10200,80.0,11.0,4.5,1.0,0.0,80.3
10201,98.0,15.0,6.8,1.0,0.0,84.2
10202,96.0,13.0,3.5,1.0,0.0,73.7
10203,56.0,9.0,10.5,1.0,0.0,73.2
10204,43.0,6.0,6.7,1.0,0.0,56.4
10205,46.0,8.0,5.0,1.0,0.0,57.3
10206,119.0,18.0,4.5,1.0,0.0,85.1
10207,55.0,9.0,4.8,1.0,0.0,70.1
10208,93.0,14.0,2.7,1.0,0.0,77.5
10209,19.0,3.0,4.8,1.0,0.0,45.1
10210,57.0,9.0,5.7,1.0,0.0,69.9
10211,46.0,7.0,6.4,1.0,0.0,73.1
10212,28.0,4.0,6.4,1.0,0.0,54.7
10213,13.0,1.0,4.3,1.0,0.0,49.6
10214,38.0,6.0,1.5,1.0,0.0,47.6
10215,97.0,15.0,3.3,1.0,0.0,79.1
10216,43.0,7.0,9.0,1.0,0.0,59.1
10217,106.0,18.0,7.2,1.0,0.0,81.3
10218,74.0,11.0,5.9,1.0,0.0,70.8
10219,99.0,13.0,3.1,1.0,0.0,76.4
10220,120.0,17.0,5.0,1.0,0.0,85.2
10221,80.0,12.0,1.9,1.0,0.0,66.6
10222,47.0,6.0,3.6,1.0,0.0,66.5
10223,44.0,6.0,4.4,1.0,0.0,52.3
10224,117.0,17.0,4.1,1.0,0.0,92.0
10225,89.0,13.0,7.4,1.0,0.0,78.8
10226,65.0,9.0,1.5,1.0,0.0,64.3
10227,34.0,4.0,2.8,1.0,0.0,50.4
10228,64.0,10.0,1.6,1.0,0.0,61.8
10229,94.0,15.0,1.9,1.0,0.0,77.9
10230,117.0,17.0,5.3,1.0,0.0,92.9
10231,84.0,12.0,1.0,1.0,0.0,72.5
10232,13.0,2.0,6.9,1.0,0.0,43.2
10233,61.0,9.0,4.4,1.0,0.0,63.5
10234,101.0,17.0,5.2,1.0,0.0,78.9
10235,66.0,9.0,5.8,1.0,0.0,69.2
10236,48.0,6.0,3.9,1.0,0.0,59.5
10237,105.0,16.0,7.6,1.0,0.0,88.7
10238,74.0,11.0,4.5,1.0,0.0,65.2
10239,65.0,9.0,6.5,1.0,0.0,69.2
10240,63.0,11.0,4.5,1.0,0.0,63.0
10241,85.0,12.0,5.7,1.0,0.0,82.0
10242,60.0,10.0,5.7,1.0,0.0,66.5
10243,72.0,11.0,5.6,1.0,0.0,73.5
10244,42.0,5.0,2.6,1.0,0.0,53.5
10245,29.0,4.0,6.1,1.0,0.0,51.5
10246,100.0,16.0,4.2,1.0,0.0,82.0
10247,45.0,6.0,6.6,1.0,0.0,56.1
10248,24.0,5.0,0.5,1.0,0.0,50.9
10249,30.0,5.0,1.3,1.0,0.0,48.6
10250,55.0,8.0,5.9,1.0,0.0,67.4
10251,41.0,5.0,9.7,1.0,0.0,58.5
10252,86.0,14.0,7.1,1.0,0.0,78.1
10253,48.0,7.0,3.3,1.0,1.0,58.0
10254,74.0,11.0,0.8,1.0,0.0,64.2
10255,28.0,4.0,6.9,1.0,0.0,47.3
10256,25.0,4.0,4.8,1.0,0.0,51.1
10257,110.0,15.0,6.5,1.0,0.0,90.3
10258,105.0,16.0,5.3,1.0,0.0,78.4
10259,109.0,18.0,5.1,1.0,0.0,87.4
10260,64.0,11.0,12.4,1.0,0.0,72.8
10261,18.0,3.0,5.0,1.0,0.0,47.1
10262,44.0,6.0,4.6,1.0,0.0,61.1
10263,107.0,16.0,4.7,1.0,0.0,80.3
10264,56.0,8.0,3.5,1.0,0.0,66.0
10265,46.0,7.0,7.5,1.0,0.0,71.8
10266,43.0,7.0,4.1,1.0,0.0,66.9
10267,70.0,9.0,6.6,1.0,0.0,66.5
10268,60.0,9.0,5.7,1.0,0.0,64.2
10269,51.0,9.0,8.0,1.0,0.0,67.3
10270,57.0,9.0,6.1,1.0,0.0,65.7
10271,39.0,5.0,2.0,1.0,0.0,48.5
10272,31.0,6.0,1.7,1.0,0.0,48.3
10273,32.0,5.0,8.5,1.0,0.0,63.8
10274,14.0,2.0,3.5,1.0,0.0,39.4
10275,114.0,17.0,1.7,1.0,0.0,75.7
10276,115.0,15.0,3.3,1.0,0.0,86.3
10277,21.0,4.0,8.2,1.0,0.0,54.4
10278,18.0,1.0,1.4,1.0,0.0,47.4
10279,56.0,9.0,2.8,1.0,0.0,55.5
10280,94.0,13.0,3.3,1.0,0.0,79.4
10281,101.0,16.0,1.9,1.0,0.0,74.5
10282,12.0,2.0,2.0,1.0,0.0,42.2
10283,41.0,7.0,1.2,1.0,0.0,51.7
10284,69.0,10.0,3.8,1.0,0.0,68.2
10285,25.0,2.0,4.1,1.0,0.0,56.9
10286,117.0,17.0,3.3,1.0,0.0,86.4
10287,38.0,6.0,0.9,1.0,0.0,44.5
10288,68.0,11.0,8.1,1.0,0.0,71.8
10289,22.0,2.0,1.7,1.0,0.0,50.3
10290,47.0,8.0,5.7,1.0,0.0,67.5
10291,24.0,4.0,2.3,1.0,0.0,44.9
10292,110.0,15.0,6.7,1.0,0.0,88.4
10293,114.0,17.0,7.4,1.0,0.0,87.9
10294,70.0,10.0,2.8,1.0,0.0,77.2
10295,48.0,8.0,0.5,1.0,0.0,55.0
10296,46.0,7.0,6.7,1.0,0.0,65.2
10297,112.0,17.0,9.7,1.0,0.0,93.3
10298,78.0,11.0,6.0,1.0,0.0,70.4
10299,55.0,9.0,5.4,1.0,0.0,67.9
10300,95.0,13.0,7.0,1.0,0.0,76.3
10301,69.0,11.0,6.9,1.0,0.0,76.3
10302,34.0,5.0,2.9,1.0,0.0,54.1
10303,36.0,4.0,3.4,1.0,0.0,57.1
10304,40.0,6.0,6.5,1.0,0.0,63.2
10305,12.0,1.0,4.6,1.0,0.0,40.8
10306,38.0,8.0,8.3,1.0,0.0,66.5
10307,77.0,13.0,3.2,1.0,0.0,76.3
10308,93.0,12.0,6.9,1.0,0.0,83.0
10309,22.0,3.0,5.9,1.0,0.0,47.3
10310,117.0,18.0,4.7,1.0,0.0,83.7
10311,64.0,11.0,7.9,1.0,0.0,64.0
10312,17.0,3.0,6.7,1.0,0.0,50.6
10313,113.0,19.0,2.5,1.0,0.0,89.0
10314,40.0,6.0,6.6,1.0,0.0,46.3
10315,44.0,8.0,8.4,1.0,0.0,60.8
10316,61.0,8.0,4.7,1.0,0.0,62.4
10317,46.0,8.0,4.4,1.0,0.0,60.6
10318,30.0,4.0,3.3,1.0,0.0,47.1
10319,24.0,3.0,5.0,1.0,0.0,49.2
10320,66.0,11.0,6.7,1.0,0.0,68.7
10321,18.0,4.0,3.0,1.0,0.0,46.6
10322,88.0,13.0,1.6,1.0,0.0,73.9
10323,48.0,10.0,4.1,1.0,0.0,60.7
10324,119.0,19.0,1.6,1.0,0.0,84.8
10325,17.0,2.0,6.3,1.0,0.0,52.7
10326,15.0,1.0,3.9,1.0,0.0,43.2
10327,38.0,6.0,0.6,1.0,0.0,61.8
10328,49.0,7.0,4.1,1.0,0.0,61.3
10329,99.0,14.0,4.5,1.0,0.0,88.2
10330,101.0,15.0,6.1,1.0,0.0,83.4
10331,90.0,14.0,4.6,1.0,0.0,84.1
10332,101.0,16.0,9.7,1.0,0.0,83.4
10333,90.0,13.0,3.7,1.0,0.0,70.2
10334,106.0,16.0,4.8,1.0,0.0,87.1
10335,61.0,9.0,4.7,1.0,0.0,65.2
10336,40.0,5.0,4.3,1.0,0.0,62.5
10337,79.0,12.0,5.4,1.0,0.0,83.4
10338,50.0,9.0,6.4,1.0,0.0,57.2
10339,17.0,3.0,8.4,1.0,0.0,49.7
10340,104.0,16.0,1.1,1.0,0.0,82.2
10341,102.0,15.0,3.7,1.0,0.0,76.7
10342,65.0,10.0,3.9,1.0,0.0,59.6
10343,61.0,7.0,7.3,1.0,0.0,71.2
10344,23.0,3.0,4.1,1.0,0.0,45.8
10345,24.0,3.0,0.5,1.0,0.0,40.4
10346,98.0,15.0,5.2,1.0,0.0,81.3
10347,104.0,17.0,4.9,1.0,0.0,80.7
10348,11.0,2.0,5.4,1.0,0.0,46.6
10349,96.0,14.0,2.4,1.0,0.0,73.1
10350,69.0,10.0,9.3,1.0,0.0,81.2
10351,58.0,8.0,4.2,1.0,0.0,57.7
10352,62.0,9.0,4.5,1.0,0.0,68.1
10353,88.0,13.0,2.7,1.0,0.0,71.1
10354,10.0,1.0,2.7,1.0,0.0,42.2
10355,17.0,1.0,1.9,1.0,0.0,39.4
10356,103.0,16.0,4.0,1.0,0.0,77.6
10357,120.0,18.0,2.6,1.0,0.0,98.4
10358,37.0,5.0,10.1,1.0,0.0,64.0
10359,54.0,7.0,0.5,1.0,0.0,59.2
10360,87.0,14.0,2.2,1.0,0.0,66.7
10361,83.0,13.0,4.0,1.0,0.0,77.2
10362,96.0,17.0,6.7,1.0,0.0,84.4
10363,111.0,17.0,4.0,1.0,0.0,89.0
10364,39.0,5.0,6.7,1.0,0.0,59.4
10365,68.0,9.0,2.5,1.0,0.0,73.9
10366,25.0,4.0,5.1,1.0,0.0,54.7
10367,117.0,18.0,9.4,1.0,0.0,95.1
10368,93.0,15.0,2.6,1.0,0.0,78.0
10369,31.0,4.0,6.0,1.0,0.0,56.3
10370,91.0,14.0,5.5,1.0,0.0,77.8
10371,98.0,14.0,0.5,1.0,0.0,76.9
10372,25.0,4.0,3.5,1.0,0.0,49.1
10373,65.0,9.0,7.8,1.0,0.0,75.9
10374,101.0,17.0,5.3,1.0,0.0,79.3
10375,48.0,6.0,2.0,1.0,0.0,51.2
10376,16.0,3.0,6.7,1.0,0.0,47.4
10377,48.0,7.0,3.8,1.0,0.0,55.7
10378,96.0,14.0,5.9,1.0,0.0,78.3
10379,21.0,1.0,5.9,1.0,0.0,56.6
10380,44.0,7.0,2.2,1.0,0.0,55.2
10381,104.0,15.0,7.0,1.0,0.0,84.0
10382,28.0,4.0,2.5,1.0,0.0,52.5
10383,53.0,8.0,1.7,1.0,0.0,63.1
10384,71.0,13.0,2.8,1.0,0.0,58.3
10385,30.0,6.0,4.1,1.0,0.0,48.0
10386,87.0,14.0,5.3,1.0,0.0,79.5
10387,96.0,15.0,3.1,1.0,0.0,75.6
10388,80.0,12.0,6.9,1.0,0.0,68.0
10389,105.0,15.0,5.6,1.0,0.0,90.4
10390,24.0,4.0,3.3,1.0,0.0,49.2
10391,10.0,1.0,7.2,1.0,0.0,41.0
10392,39.0,8.0,7.9,1.0,0.0,60.3
10393,102.0,18.0,4.8,1.0,0.0,87.4
10394,24.0,6.0,4.5,1.0,0.0,43.6
10395,94.0,13.0,0.6,1.0,0.0,70.4
10396,112.0,16.0,4.0,1.0,0.0,83.1
10397,72.0,10.0,4.3,1.0,0.0,66.8
10398,107.0,17.0,5.6,1.0,0.0,78.8
10399,37.0,5.0,4.6,1.0,0.0,59.7
10400,90.0,13.0,5.6,1.0,0.0,74.8
10401,96.0,13.0,8.8,1.0,0.0,78.0
10402,64.0,9.0,3.7,1.0,0.0,63.8
10403,76.0,13.0,3.8,1.0,0.0,65.5
10404,20.0,1.0,1.7,1.0,0.0,42.3
10405,40.0,7.0,5.0,1.0,0.0,57.8
10406,18.0,2.0,7.4,1.0,0.0,48.3
10407,36.0,8.0,0.6,1.0,0.0,55.2
10408,108.0,17.0,3.3,1.0,0.0,80.2
10409,13.0,1.0,5.1,1.0,0.0,45.1
10410,65.0,9.0,7.1,1.0,0.0,75.7
10411,67.0,10.0,6.0,1.0,0.0,71.7
10412,41.0,7.0,5.8,1.0,0.0,57.7
10413,96.0,16.0,4.4,1.0,0.0,79.3
10414,75.0,11.0,6.2,1.0,0.0,70.8
10415,31.0,5.0,7.5,1.0,0.0,55.9
10416,62.0,10.0,0.7,1.0,0.0,59.0
10417,13.0,2.0,6.8,1.0,0.0,48.2
10418,12.0,2.0,4.8,1.0,0.0,41.4
10419,91.0,14.0,3.7,1.0,0.0,81.7
10420,29.0,4.0,0.5,1.0,0.0,48.3
10421,117.0,19.0,1.5,1.0,0.0,89.9
10422,49.0,7.0,9.2,1.0,0.0,67.7
10423,87.0,15.0,3.3,1.0,0.0,70.8
10424,61.0,10.0,2.3,1.0,0.0,64.2
10425,55.0,8.0,3.9,1.0,0.0,56.7
10426,83.0,11.0,3.1,1.0,0.0,74.7
10427,79.0,14.0,5.3,1.0,0.0,76.4
10428,106.0,16.0,8.8,1.0,0.0,98.3
10429,19.0,4.0,3.5,1.0,0.0,47.7
10430,66.0,11.0,5.4,1.0,0.0,66.3
10431,77.0,10.0,2.1,1.0,0.0,66.6
10432,81.0,13.0,8.8,1.0,0.0,83.9
10433,79.0,11.0,5.5,1.0,0.0,68.7
10434,50.0,8.0,2.3,1.0,0.0,60.5
10435,13.0,2.0,7.3,1.0,0.0,52.7
10436,88.0,12.0,8.0,1.0,0.0,84.8
10437,15.0,2.0,5.4,1.0,0.0,50.9
10438,62.0,9.0,0.9,1.0,0.0,64.2
10439,89.0,12.0,9.5,1.0,0.0,82.9
10440,40.0,5.0,5.8,1.0,0.0,60.0
10441,13.0,2.0,7.9,1.0,0.0,47.7
10442,20.0,4.0,3.6,1.0,0.0,45.5
10443,25.0,4.0,4.0,1.0,0.0,49.0
10444,83.0,12.0,5.3,1.0,0.0,72.0
10445,82.0,11.0,7.8,1.0,0.0,83.7
10446,118.0,17.0,5.4,1.0,0.0,89.9
10447,46.0,6.0,1.9,1.0,0.0,57.9
10448,24.0,4.0,5.7,1.0,0.0,52.0
10449,29.0,5.0,9.1,1.0,0.0,55.2
10450,14.0,1.0,5.2,1.0,0.0,49.0
10451,101.0,15.0,5.3,1.0,0.0,85.4
10452,18.0,5.0,1.8,1.0,0.0,45.0
10453,108.0,17.0,1.5,1.0,0.0,88.5
10454,15.0,3.0,3.4,1.0,0.0,45.0
10455,99.0,16.0,4.2,1.0,0.0,81.5
10456,32.0,6.0,5.3,1.0,0.0,51.5
10457,13.0,1.0,5.4,1.0,0.0,47.4
10458,87.0,13.0,9.0,1.0,0.0,88.9
10459,10.0,1.0,5.1,1.0,0.0,45.4
10460,43.0,6.0,7.7,1.0,0.0,60.9
10461,16.0,5.0,4.9,1.0,0.0,56.3
10462,23.0,4.0,8.6,1.0,0.0,47.4
10463,24.0,5.0,0.5,1.0,0.0,36.6
10464,90.0,14.0,3.5,1.0,0.0,72.4
10465,117.0,20.0,7.5,1.0,0.0,91.7
10466,37.0,4.0,4.6,1.0,0.0,56.4
10467,54.0,8.0,7.3,1.0,0.0,65.3
10468,51.0,7.0,6.0,1.0,0.0,57.9
10469,38.0,5.0,7.4,1.0,0.0,59.6
10470,88.0,14.0,6.5,1.0,0.0,86.9
10471,40.0,6.0,6.7,1.0,0.0,63.9
10472,67.0,11.0,8.7,1.0,0.0,77.7
10473,24.0,5.0,7.5,1.0,0.0,49.3
10474,103.0,16.0,7.5,1.0,0.0,84.5
10475,86.0,14.0,5.1,1.0,0.0,76.3
10476,69.0,10.0,3.5,1.0,0.0,72.0
10477,78.0,11.0,3.4,1.0,0.0,73.2
10478,35.0,4.0,6.9,1.0,0.0,55.9
10479,103.0,16.0,0.5,1.0,0.0,78.0
10480,23.0,3.0,1.7,1.0,0.0,49.0
10481,107.0,15.0,2.6,1.0,0.0,91.0
10482,77.0,12.0,4.4,1.0,0.0,75.3
10483,113.0,16.0,0.5,1.0,0.0,77.8
10484,42.0,7.0,8.1,1.0,0.0,66.8
10485,113.0,17.0,6.5,1.0,0.0,92.0
10486,80.0,11.0,10.0,1.0,0.0,84.5
10487,11.0,3.0,7.7,1.0,0.0,49.3
10488,21.0,4.0,7.6,1.0,0.0,56.2
10489,75.0,11.0,10.6,1.0,0.0,73.0
10490,20.0,4.0,3.6,1.0,0.0,48.9
10491,92.0,12.0,1.2,1.0,0.0,80.1
10492,84.0,14.0,4.4,1.0,0.0,72.9
10493,31.0,4.0,2.9,1.0,0.0,57.4
10494,80.0,12.0,4.4,1.0,0.0,73.2
10495,72.0,11.0,2.4,1.0,0.0,67.0
10496,37.0,5.0,6.4,1.0,0.0,59.0
10497,88.0,13.0,6.3,1.0,0.0,77.6
10498,38.0,5.0,4.9,1.0,0.0,49.8
10499,105.0,16.0,5.8,1.0,0.0,80.7
10500,54.0,10.0,4.6,1.0,0.0,59.5
10501,64.0,8.0,6.9,1.0,0.0,69.5
10502,83.0,12.0,5.2,1.0,0.0,76.2
10503,107.0,16.0,4.3,1.0,0.0,77.6
10504,60.0,8.0,7.3,1.0,0.0,64.5
10505,82.0,12.0,8.2,1.0,0.0,88.5
10506,76.0,12.0,8.3,1.0,0.0,70.4
10507,18.0,3.0,2.5,1.0,0.0,40.3
10508,80.0,13.0,3.7,1.0,0.0,73.3
10509,15.0,3.0,0.7,1.0,0.0,44.3
10510,66.0,10.0,4.4,1.0,0.0,76.2
10511,22.0,3.0,6.0,1.0,0.0,49.2
10512,77.0,10.0,4.7,1.0,0.0,70.6
